movie_id,date,domestic
4,2013-07-27,143888405
5,2013-07-27,225352743
6,2013-07-27,105876590
7,2013-07-27,237303850
8,2013-07-27,111950512
9,2013-07-27,114693591
10,2013-07-27,59755050
11,2013-07-27,43721597
12,2013-07-27,95114285
13,2013-07-27,286058272
14,2013-07-27,253416000
15,2013-07-27,190662000
16,2013-07-27,69724769
17,2013-07-27,136470000
18,2013-07-27,295189000
19,2013-07-27,84112000
20,2013-07-27,93814000
21,2013-07-27,78661000
22,2013-07-27,46463000
23,2013-07-27,28394000
24,2013-07-27,21000000
1,2013-08-01,89107235
2,2013-08-01,49775158
3,2013-08-01,407358766
4,2013-08-01,144289136
5,2013-08-01,225708503
6,2013-08-01,106362774
7,2013-08-01,237747075
8,2013-08-01,112050438
9,2013-08-01,115120871
10,2013-08-01,60047407
11,2013-08-01,44016202
12,2013-08-01,95841681
13,2013-08-01,287122365
14,2013-08-01,256790589
15,2013-08-01,193780151
16,2013-08-01,70990723
17,2013-08-01,143996670
18,2013-08-01,313957310
19,2013-08-01,85946073
20,2013-08-01,106659607
21,2013-08-01,87401670
22,2013-08-01,61555029
23,2013-08-01,38421411
24,2013-08-01,68986397
25,2013-08-01,5203980
1,2013-08-03,89107235
2,2013-08-03,49777706
3,2013-08-03,407436786
4,2013-08-03,144333501
5,2013-08-03,225744027
6,2013-08-03,106422577
7,2013-08-03,237791130
8,2013-08-03,112061384
9,2013-08-03,115168136
10,2013-08-03,60047407
11,2013-08-03,44047512
12,2013-08-03,95900422
13,2013-08-03,287214823
14,2013-08-03,257555000
15,2013-08-03,194073962
16,2013-08-03,71077953
17,2013-08-03,146216000
18,2013-08-03,319377000
19,2013-08-03,86104707
20,2013-08-03,110700000
21,2013-08-03,89661000
22,2013-08-03,64929000
23,2013-08-03,41143000
24,2013-08-03,79739000
25,2013-08-03,15061000
26,2013-08-03,10000000
1,2013-08-08,89107235
2,2013-08-08,49790194
3,2013-08-08,407676359
4,2013-08-08,144596963
5,2013-08-08,226447445
6,2013-08-08,106779425
7,2013-08-08,238110890
8,2013-08-08,112161342
9,2013-08-08,115579045
10,2013-08-08,60273470
11,2013-08-08,44297381
12,2013-08-08,96219815
13,2013-08-08,287879627
14,2013-08-08,259293996
15,2013-08-08,196630587
16,2013-08-08,71589170
17,2013-08-08,151175233
18,2013-08-08,331183945
19,2013-08-08,87002217
20,2013-08-08,119336400
21,2013-08-08,94783453
22,2013-08-08,72065017
23,2013-08-08,46953190
24,2013-08-08,102161893
25,2013-08-08,34967784
26,2013-08-08,35377680
1,2013-08-10,89107235
2,2013-08-10,49791479
3,2013-08-10,407790348
4,2013-08-10,144625739
5,2013-08-10,226513226
6,2013-08-10,106824212
7,2013-08-10,238139655
8,2013-08-10,112166666
9,2013-08-10,115606540
10,2013-08-10,60273470
11,2013-08-10,44321694
12,2013-08-10,96219815
13,2013-08-10,287931663
14,2013-08-10,259487516
15,2013-08-10,196803632
16,2013-08-10,71589170
17,2013-08-10,152256000
18,2013-08-10,334466000
19,2013-08-10,87054312
20,2013-08-10,120140931
21,2013-08-10,95655000
22,2013-08-10,73470000
23,2013-08-10,47411222
24,2013-08-10,106411000
25,2013-08-10,40269000
26,2013-08-10,40789000
27,2013-08-10,11200000
28,2013-08-10,8105000
1,2013-08-15,89107235
2,2013-08-15,49808491
3,2013-08-15,407848523
4,2013-08-15,144751638
5,2013-08-15,226927100
6,2013-08-15,107064822
7,2013-08-15,238340140
8,2013-08-15,112195299
9,2013-08-15,115825657
10,2013-08-15,60424494
11,2013-08-15,44454672
12,2013-08-15,96505193
13,2013-08-15,289023787
14,2013-08-15,260566991
15,2013-08-15,197778968
16,2013-08-15,71947010
17,2013-08-15,154144225
18,2013-08-15,341475645
19,2013-08-15,87344973
20,2013-08-15,125321881
21,2013-08-15,97495307
22,2013-08-15,76278429
23,2013-08-15,50087816
24,2013-08-15,115209310
25,2013-08-15,51179497
26,2013-08-15,52634965
27,2013-08-15,39870727
28,2013-08-15,29943859
1,2013-08-17,89107235
